Model,Relevance_story_pearson,Coherence_story_pearson,Empathy_story_pearson,Surprise_story_pearson,Engagement_story_pearson,Complexity_story_pearson,Relevance_system_pearson,Coherence_system_pearson,Empathy_system_pearson,Surprise_system_pearson,Engagement_system_pearson,Complexity_system_pearson
MoverScore Ξε,0.23408332811983526,0.29130290224534794,0.21469583602978498,0.1784492527701216,0.3088545788994531,0.36928581671440475,0.6732122310273565,0.869487694451522,0.8616844936940944,0.8887458350780584,0.9207061200688631,0.903851511112152
DepthScore Ξε,0.11529268451629571,0.2839161459687457,0.22975111594564235,0.212984426367643,0.32482047431220445,0.3807355792819895,0.670676169999298,0.8738267472813348,0.8619673899618698,0.9071225896260169,0.9343885959003853,0.9562737097279385
BaryScore-W Ξε,0.16076408672283748,0.2669526234966154,0.25153814644801514,0.17691707587708,0.30215650532154714,0.36641341088404694,0.650862754249555,0.8798787181483014,0.8996162348906683,0.8455728324518138,0.911443500884576,0.8819059628185424
BaryScore-SD-10 Ξε,0.004583705902529829,0.03070576633331147,0.08173294277769859,0.03204256378282068,0.014768620724632614,0.04228918328935144,0.4403886821487266,0.5040828694470066,0.35854226704256303,0.6137802719698655,0.524529375264339,0.602288428668347
BaryScore-SD-5 Ξε,0.0054341900865585435,0.030099326422899874,0.08220452330212775,0.031780548854450114,0.014077128696671323,0.04146253205788694,0.437199179201483,0.5004205987489165,0.35445464270944804,0.6106228501364481,0.5210489441150793,0.5991933031098331
BaryScore-SD-1 Ξε,0.013123309700227286,0.02463500383962487,0.08597257452275707,0.029958135991748094,0.0083326518870318,0.03480459135287317,0.4110043039511161,0.4667241458341328,0.3179378103664421,0.5834809911589431,0.4903027044614246,0.5729568672352967
BaryScore-SD-0.5 Ξε,0.025473905332878938,0.014932814450289711,0.09094889776728765,0.027674737301368258,0.0004396756341129224,0.02521087030162311,0.3765934245948389,0.4067773986896503,0.2574708375873938,0.540905058208359,0.4387643236294705,0.532023867379557
BaryScore-SD-0.1 Ξε,0.13094770817916895,0.1596938063157321,0.18724151392711896,0.0761243030007776,0.17832946029579771,0.1974942032106392,0.44494597784745715,0.7249219393554561,0.7926422767065083,0.567043173401798,0.6984149805874218,0.5925034148908334
BaryScore-SD-0.01 Ξε,0.16068964836934185,0.2694887238710545,0.252228911885047,0.1782693610674107,0.3037713464209164,0.36783440260653955,0.648465197684023,0.8815163264060719,0.9001079599698653,0.8456953899161468,0.912382475083489,0.8816776692600456
BaryScore-SD-0.001 Ξε,0.06238764468818496,0.01570053697050233,0.01672989982005323,0.03399871308988528,0.03274295322487685,0.04879518935358073,0.39665186198604163,0.5568270897676524,0.6226257643811615,0.5148036887782788,0.5386819132377625,0.5556526366117807
S3-Pyramid ΞΔ,0.1948005306770406,0.2746564079307674,0.2655043031328544,0.2005685559787116,0.30245937031703946,0.4064346829043368,0.7899466503128176,0.7740565715071702,0.7883395661780025,0.8605803603843651,0.8485583519057516,0.9248215161491933
S3-Responsiveness ΞΔ,0.21415737872090226,0.2711554572556355,0.2572498919401504,0.1824599286663044,0.2934658649823882,0.3871592168481331,0.789245323958726,0.7813228897647035,0.7975299882317017,0.8551092961581357,0.8485044620311863,0.919989513905366
