Model,Relevance_story_pearson,Coherence_story_pearson,Empathy_story_pearson,Surprise_story_pearson,Engagement_story_pearson,Complexity_story_pearson,Relevance_story_spearman,Coherence_story_spearman,Empathy_story_spearman,Surprise_story_spearman,Engagement_story_spearman,Complexity_story_spearman,Relevance_story_kendall,Coherence_story_kendall,Empathy_story_kendall,Surprise_story_kendall,Engagement_story_kendall,Complexity_story_kendall
ROUGE-S* F-Score Ξ§,0.16620093723735657,0.23089467126819402,0.24574682747130908,0.1730593747270737,0.2765459409510639,0.3734747781796405,0.1570811249120638,0.2074006732046602,0.23151676071621188,0.19838467222028341,0.2716255486324277,0.364011519719681,0.11154268585708602,0.14903915761680084,0.1665780422165905,0.14326438687512144,0.19585436580460935,0.2641013733766984
ROUGE-SU* Recall Ξ§,0.14248204948241247,0.18637569556075312,0.19807725588598243,0.14668052002512333,0.21009010999847522,0.308704391841516,0.15041829039509544,0.21291066068109918,0.23601145004846602,0.21090450070621208,0.2675279293072768,0.3758835319194335,0.10577349687558885,0.1524697723260134,0.16910323888372028,0.15190324260328267,0.19085235547549426,0.27304895000020424
ROUGE-SU* Precision Ξ§,0.012944884165395833,0.0009147479358305307,0.01886352987173371,0.05381359896607081,0.04242835201324385,0.08167463022671834,0.017321654954152423,0.011079527249286843,0.017423812330436987,0.04087713212980912,0.022498567690762257,0.06822211443854534,0.013003351268950941,0.007143208222634197,0.012534088904923846,0.029121473311501243,0.015923981897857646,0.048480781685024746
ROUGE-SU* F-Score Ξ§,0.16531025274948466,0.22983573165381926,0.2446626301680172,0.17167920913801882,0.2748877711863354,0.3707813183380968,0.15587688538230954,0.2058361489787464,0.23026436542745665,0.1964783085109107,0.2692411111576069,0.3606530197855672,0.11051887881967642,0.14784411959989127,0.1655941799526879,0.14194018017591645,0.19390648116253412,0.26160939022857144
METEOR Ξ§,0.1295163825161698,0.22710954277495338,0.2501662362218896,0.18996282787361968,0.27379663020641576,0.38405550760567764,0.12881977614038342,0.20395825280054955,0.2516378896350802,0.2168445436552508,0.2663209753978392,0.38170916034791946,0.09094088744739882,0.14633023135886353,0.18057260785258542,0.15602967665561387,0.19008554942631842,0.27722751787538674
chrF Ξ§,0.13839464720477507,0.25737531776249045,0.2446167798601675,0.2204633659928609,0.2941409009365392,0.40649303200313847,0.13681994297230543,0.23267488541839076,0.24285308820030543,0.23649143938035225,0.2823849437585655,0.39808924475009116,0.09621128594416023,0.1664278963242115,0.1739007319390535,0.17102708067522618,0.2017244874310957,0.28999668327673755
CIDEr Ξ§,0.07607249000416008,0.01114398203537828,0.04900756189350866,0.02000121828067796,0.026130326822476267,0.025219328979503287,0.011411556662033523,0.011905784111131176,0.03596921848029768,0.014840173974439578,0.012081857252278963,0.03718690363466564,0.008808064817039036,0.00926546815520743,0.028285090033168807,0.011632380105507243,0.00948589536118343,0.0284253391167886
ROUGE-WE-3 Recall Ξε,0.16857163184816681,0.25048487512552653,0.2654118421951977,0.17924348672053092,0.2698909181936343,0.37071693245050785,0.15858226825410826,0.24164484008441434,0.27335771250889285,0.22356411125134334,0.2864322124752868,0.3877635001900958,0.11195855587915202,0.17343067653155272,0.1962530548866774,0.16064447557130895,0.2056284457600728,0.28201795813701835
ROUGE-WE-3 Precision Ξε,0.02353441015265246,0.06720753540981353,0.024800073227553135,0.013818995153280896,0.022980553489289225,0.0011650528042168604,0.03323594237607835,0.06639832807231957,0.025018063104716604,0.002723245967360118,0.034062074573675445,0.009408141454413616,0.023564602132667277,0.047357109061860504,0.018392867499860372,0.0022457795134763698,0.024651741328455472,0.007016934701142027
ROUGE-WE-3 F-Score Ξε,0.15694233268989471,0.2670018598509543,0.25739511007855664,0.1700307621571849,0.2869473056608611,0.3623911332069289,0.15209113047547712,0.22383633592868463,0.241806952291541,0.18125574400107153,0.25481363567598003,0.32805672461064844,0.10787287165585496,0.16002505986070117,0.1738218007894077,0.13077485177833906,0.18292626824231553,0.23758562980589137
BERTScore Precision Ξε,0.08930280059981299,0.00244396303460112,0.035100843267677935,0.041388176851816824,0.014784060234293541,0.010607139630392592,0.08581607523576922,0.00941845625364064,0.05312565054742766,0.027051894330273663,0.032545242728803825,0.018374100114502898,0.061960612248671394,0.007668597771721668,0.03782920776588785,0.019186104189586575,0.024626033558003704,0.013931912782162657
BERTScore Recall Ξε,0.17783267895570898,0.3117093492498658,0.300814340849791,0.25501988554672783,0.37499858259196095,0.48618514233869486,0.19700183688197717,0.24699961552095825,0.2893421799139335,0.26155727234959975,0.3320083387234492,0.44656521695125406,0.13984539003414553,0.1769904824375663,0.20743852901882723,0.18890585320289358,0.2391043712917291,0.3271765250792781
BERTScore F1 Ξε,0.17692946911241741,0.23924254394571898,0.24260470571815754,0.17116697367818537,0.2936871815434638,0.3696131562007013,0.18547365940564067,0.19528676312479645,0.23571449325443272,0.1720356229323059,0.26886648516192624,0.33418233147867304,0.13192365371092935,0.1391989538981291,0.16895199357672935,0.12323922677468958,0.19183955371080588,0.24115193515482453
