Model,Relevance_system_pearson,Coherence_system_pearson,Empathy_system_pearson,Surprise_system_pearson,Engagement_system_pearson,Complexity_system_pearson,Relevance_system_spearman,Coherence_system_spearman,Empathy_system_spearman,Surprise_system_spearman,Engagement_system_spearman,Complexity_system_spearman,Relevance_system_kendall,Coherence_system_kendall,Empathy_system_kendall,Surprise_system_kendall,Engagement_system_kendall,Complexity_system_kendall
Text length ¤§,0.7422371254504144,0.5697375660600462,0.576649773821545,0.7511545604425429,0.677700344564788,0.8180573196009424,0.6242424242424242,0.5030303030303029,0.4545454545454545,0.5757575757575757,0.5030303030303029,0.7477238187264795,0.4666666666666666,0.3333333333333333,0.3333333333333333,0.4222222222222222,0.3333333333333333,0.5393598899705937
Novelty-1 ¤§,0.5253644961007975,0.8392625833328042,0.7634792984682679,0.8606822728747079,0.8964689967821696,0.9055481982355293,0.5636363636363636,0.6363636363636362,0.5393939393939393,0.7454545454545454,0.6363636363636362,0.8753839828992931,0.37777777777777777,0.5111111111111111,0.5111111111111111,0.6,0.5111111111111111,0.7191465199607916
Novelty-2 ¤§,0.32133817737825765,0.8155819868423619,0.7199514226797353,0.7446332516924462,0.8409227754031607,0.802023559589668,0.34545454545454546,0.5757575757575757,0.3696969696969697,0.5757575757575757,0.5757575757575757,0.5775102664960614,0.24444444444444444,0.4666666666666666,0.28888888888888886,0.4666666666666666,0.4666666666666666,0.44946657497549475
Novelty-3 ¤§,0.2883295559001623,0.7939021715176198,0.6906220467324048,0.7191810906132272,0.818589900057975,0.7816143277188994,0.04242424242424241,0.309090909090909,0.09090909090909088,0.3696969696969697,0.309090909090909,0.35258521533443743,0.06666666666666667,0.24444444444444444,0.06666666666666667,0.3333333333333333,0.24444444444444444,0.31462660248284624
Repetition-1 ¤§,0.5000278718914434,0.7834984778208832,0.6829669661171103,0.8436610971939207,0.8399736827393494,0.8273646554793292,0.3939393939393939,0.3696969696969697,0.2606060606060606,0.3696969696969697,0.3696969696969697,0.41337576970244394,0.28888888888888886,0.24444444444444444,0.15555555555555553,0.24444444444444444,0.24444444444444444,0.31462660248284624
Repetition-2 ¤§,0.4628178230583522,0.8219304357675428,0.7329474696988739,0.8311684132362503,0.8701888751517094,0.8442941122897932,0.3939393939393939,0.3696969696969697,0.2606060606060606,0.3696969696969697,0.3696969696969697,0.41337576970244394,0.28888888888888886,0.24444444444444444,0.15555555555555553,0.24444444444444444,0.24444444444444444,0.31462660248284624
Repetition-3 ¤§,0.4308784814492138,0.8349069730083833,0.7537939319066318,0.8101474707473934,0.8750217086404364,0.8405672722369741,0.49090909090909085,0.4787878787878787,0.35757575757575755,0.4545454545454545,0.4787878787878787,0.4559291577600484,0.37777777777777777,0.3333333333333333,0.24444444444444444,0.3333333333333333,0.3333333333333333,0.31462660248284624
SUPERT-PS ¤ε,0.2903296841173783,0.45458616044909983,0.27241840968160913,0.25191863426660377,0.4008346159306759,0.3291815368167135,0.16363636363636364,0.18787878787878787,0.006060606060606061,0.2121212121212121,0.18787878787878787,0.21884599572482327,0.1111111111111111,0.19999999999999998,0.022222222222222223,0.19999999999999998,0.19999999999999998,0.1797866299901979
SUPERT-SS ¤ε,0.28703051273926683,0.44564812231374595,0.2559285712103241,0.24339068134740627,0.3904387606756696,0.3086642558292929,0.17575757575757575,0.16363636363636364,0.0303030303030303,0.1515151515151515,0.16363636363636364,0.1702135522304181,0.19999999999999998,0.1111111111111111,0.022222222222222223,0.1111111111111111,0.1111111111111111,0.13483997249264842
BLANC-Tune-PS ¤Δ,0.11114270178103247,0.7501574193483888,0.606669418562808,0.6215680350709618,0.7401319159600847,0.6812538123444922,0.29696969696969694,0.10303030303030303,0.01818181818181818,0.12727272727272726,0.10303030303030303,0.06079055436800646,0.24444444444444444,0.15555555555555553,0.022222222222222223,0.15555555555555553,0.15555555555555553,0.044946657497549475
BLANC-Help-PS ¤Δ,0.02103867421072242,0.6721202346303258,0.514166790570034,0.4672010122753756,0.6147488058431383,0.5404386483041197,0.07878787878787878,0.28484848484848485,0.2727272727272727,0.24848484848484845,0.28484848484848485,0.17629260766721871,0.022222222222222223,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.13483997249264842
BLANC-Tune-SS ¤Δ,0.4884960241644263,0.26069770283073784,0.018620582375803385,0.09370530297957352,0.1856660174415811,0.10198761250577387,0.35757575757575755,0.006060606060606061,0.04242424242424241,0.006060606060606061,0.006060606060606061,0.03039527718400323,0.28888888888888886,0.022222222222222223,0.06666666666666667,0.022222222222222223,0.022222222222222223,0.044946657497549475
BLANC-Help-SS ¤Δ,0.6425406617034779,0.05921237513847019,0.16027586233350472,0.0960393485225984,0.00028771196417815004,0.04963555031309386,0.5393939393939393,0.17575757575757575,0.24848484848484845,0.10303030303030303,0.17575757575757575,0.16413449679361747,0.4222222222222222,0.1111111111111111,0.19999999999999998,0.022222222222222223,0.1111111111111111,0.13483997249264842
BARTScore-PS ¤Δ,0.33548923613330905,0.5364957749097748,0.4589068681221104,0.6479837762072909,0.6339548704087635,0.6635612173390188,0.2121212121212121,0.13939393939393938,0.09090909090909088,0.17575757575757575,0.13939393939393938,0.24316221747202585,0.1111111111111111,0.06666666666666667,0.022222222222222223,0.06666666666666667,0.06666666666666667,0.13483997249264842
BARTScore-SP ¤Δ,0.7239988269630302,0.11584942969891829,0.20353884337987038,0.382574384025031,0.2065433086593928,0.3389378302230531,0.35757575757575755,0.09090909090909088,0.07878787878787878,0.2121212121212121,0.09090909090909088,0.2978737164032316,0.28888888888888886,0.06666666666666667,0.06666666666666667,0.15555555555555553,0.06666666666666667,0.22473328748774737
