Model,Relevance_story_pearson,Coherence_story_pearson,Empathy_story_pearson,Surprise_story_pearson,Engagement_story_pearson,Complexity_story_pearson,Relevance_story_spearman,Coherence_story_spearman,Empathy_story_spearman,Surprise_story_spearman,Engagement_story_spearman,Complexity_story_spearman,Relevance_story_kendall,Coherence_story_kendall,Empathy_story_kendall,Surprise_story_kendall,Engagement_story_kendall,Complexity_story_kendall,Relevance_system_pearson,Coherence_system_pearson,Empathy_system_pearson,Surprise_system_pearson,Engagement_system_pearson,Complexity_system_pearson,Relevance_system_spearman,Coherence_system_spearman,Empathy_system_spearman,Surprise_system_spearman,Engagement_system_spearman,Complexity_system_spearman,Relevance_system_kendall,Coherence_system_kendall,Empathy_system_kendall,Surprise_system_kendall,Engagement_system_kendall,Complexity_system_kendall
ROUGE-S* Precision Ξ§,0.025472158183559277,0.05629592147393276,0.08904647143536347,0.12501070039805467,0.12221724135029478,0.2440256081891132,0.004254498940447324,0.01813795012271488,0.07429228172279044,0.09365211956816766,0.0854927736501603,0.20938453294973688,0.008803972509958303,0.016974457636093915,0.06240702867086192,0.07197443390781952,0.06406375021630915,0.1659018717967409,0.6489333729750504,0.3182949869010141,0.3461010116923464,0.5969379619824844,0.45663803788138024,0.6247374729288656,0.5272727272727272,0.32121212121212117,0.28484848484848485,0.41818181818181815,0.32121212121212117,0.5835893219328621,0.4666666666666666,0.15555555555555553,0.15555555555555553,0.24444444444444444,0.15555555555555553,0.3595732599803958
ROUGE-S* F-Score Ξ§,0.17220343219197845,0.300528949978968,0.2727135376380499,0.23070193092934396,0.3228981785574729,0.43597562076115887,0.18178924389502202,0.26596558532471065,0.258937471004098,0.2474941852726059,0.32414055344131787,0.40859675852288885,0.14067784289102747,0.20545976051422976,0.20752650455770902,0.18691305352847812,0.2537551700356685,0.32397794898842297,0.8038799421781593,0.7684878782667075,0.8119335616094348,0.8348732693824732,0.8412964452176853,0.9017875988149737,0.7212121212121211,0.5757575757575757,0.6,0.6242424242424242,0.5757575757575757,0.7173285415424762,0.5555555555555555,0.3333333333333333,0.4222222222222222,0.4222222222222222,0.3333333333333333,0.5393598899705937
ROUGE-SU* Recall Ξ§,0.18129193463853657,0.3157076924905245,0.2896424645646734,0.28127017783017116,0.353787049773514,0.5106217537846183,0.1855971256649909,0.29313817752155075,0.29379068483690834,0.3030470528588645,0.3659548719660992,0.5009542214895358,0.14602564344837496,0.23081829333537981,0.231283805429087,0.2285335320407269,0.28761938036899126,0.39828793947713037,0.8023184167779331,0.6455964865666717,0.6701559073040575,0.7740505996507623,0.7314332444611659,0.8450496273121628,0.7575757575757575,0.6,0.5878787878787878,0.6484848484848483,0.6,0.7659609850368815,0.6,0.37777777777777777,0.37777777777777777,0.4666666666666666,0.37777777777777777,0.5843065474681431
ROUGE-SU* Precision Ξ§,0.030676301549318007,0.0647069508279936,0.09228324913639235,0.13071788016005492,0.13057627408291983,0.2538822024454417,0.009007838121822537,0.02994219088642609,0.07886016088046298,0.10367187934935873,0.0944088783561281,0.22445757147480072,0.010936689999554801,0.02614203127371618,0.06585327187911666,0.08033536740639484,0.07262730445631095,0.1782561337741435,0.6562172096042009,0.3303717871360393,0.35622731615958314,0.6047919333784126,0.4685014596665523,0.6352915667685439,0.5272727272727272,0.32121212121212117,0.28484848484848485,0.41818181818181815,0.32121212121212117,0.5835893219328621,0.4666666666666666,0.15555555555555553,0.15555555555555553,0.24444444444444444,0.15555555555555553,0.3595732599803958
ROUGE-SU* F-Score Ξ§,0.1715973994664363,0.2991914951358117,0.2713002240001136,0.2291232750530169,0.3213440776645712,0.4330762925936074,0.17827473325236917,0.26327756909112005,0.2563603613398147,0.24440044718033968,0.32038265873398314,0.4047733061224356,0.13766291925423638,0.20446868765164647,0.20547675152549327,0.1849084627884443,0.25076483340561767,0.3214816438788914,0.8028571830059097,0.7707632193170144,0.8138687880343236,0.8357907111884304,0.8431684865336645,0.902547751271219,0.7212121212121211,0.5757575757575757,0.6,0.6242424242424242,0.5757575757575757,0.7173285415424762,0.5555555555555555,0.3333333333333333,0.4222222222222222,0.4222222222222222,0.3333333333333333,0.5393598899705937
METEOR Ξ§,0.1856463855672107,0.33442662423351815,0.3084118173917543,0.290514272021442,0.38163741216556213,0.5440900945891406,0.17538027615058568,0.28130644597517135,0.2794488178200492,0.28397556866555795,0.35382647281353546,0.49237282644942953,0.13492811011581124,0.21524695830618212,0.2194398434401463,0.21672482508443566,0.2803248673607095,0.39197246327153357,0.7763192056121728,0.71946127685627,0.7250235784716648,0.8319909880548882,0.8074366507270766,0.8970454543802014,0.7333333333333332,0.6242424242424242,0.6121212121212121,0.6727272727272726,0.6242424242424242,0.7963562622208846,0.5555555555555555,0.4222222222222222,0.4222222222222222,0.5111111111111111,0.4222222222222222,0.6292532049656925
chrF Ξ§,0.20255705997929288,0.36994576521133427,0.32432059476764036,0.32646498768640614,0.41071474562941446,0.5876384301894496,0.1966801176215404,0.320340780733314,0.2980739788893791,0.3154669524947584,0.39026309580911916,0.5411295017030451,0.15632222787520236,0.246078243501934,0.23334102569476647,0.2445034815501194,0.30771406166676735,0.43307161063647764,0.7629580459593744,0.745554645768649,0.7368634582801407,0.8738780828622992,0.8328729737654669,0.9245492943271233,0.7454545454545454,0.6606060606060605,0.6242424242424242,0.7212121212121211,0.6606060606060605,0.8267515394048879,0.6,0.4666666666666666,0.4666666666666666,0.5555555555555555,0.4666666666666666,0.6741998624632421
CIDEr Ξ§,0.012038895094361873,0.05532659738719731,0.06479478161627242,0.02807598525253591,0.03780201946785361,0.10175193940120766,0.0643260714081148,0.05815857074778323,0.05259724998437309,0.0576904212189329,0.06691176292680014,0.15307585704541568,0.04842122671117893,0.04949151600048146,0.04708288303584471,0.05132100448814423,0.05368738658502049,0.1333357131399646,0.26163626243626714,0.2805091956793065,0.24889831492106448,0.3293694975356647,0.3248580726179069,0.2839650616984611,0.5151515151515151,0.24848484848484845,0.24848484848484845,0.1515151515151515,0.24848484848484845,0.2553203283456271,0.24444444444444444,0.1111111111111111,0.19999999999999998,0.022222222222222223,0.1111111111111111,0.13483997249264842
ROUGE-WE-3 Recall Ξε,0.19132078484341056,0.35330974909333573,0.3139661718084981,0.2762592315962999,0.36274355318509194,0.5060541216339013,0.19375546020429693,0.32217355599134967,0.2984901505404989,0.281163563773839,0.3496020220553036,0.4830560149906861,0.14847417395519494,0.25290021988662037,0.2358012772308299,0.21636708249746495,0.2735899075874569,0.3862168001096184,0.753594313690214,0.7803403611558497,0.8096358047662874,0.8243507000602309,0.8430661469174645,0.9030204944086088,0.7212121212121211,0.5757575757575757,0.6,0.6242424242424242,0.5757575757575757,0.7173285415424762,0.5555555555555555,0.3333333333333333,0.4222222222222222,0.4222222222222222,0.3333333333333333,0.5393598899705937
ROUGE-WE-3 Precision Ξε,0.008154525709286995,0.05365705631359465,0.016060270388679108,0.05384142570694337,0.03098032923650672,0.08824442326281383,0.005930679305285659,0.0654433522218945,0.010740147552757895,0.03685893679633193,0.005998089479344337,0.07726255008098368,0.004732891290466464,0.044325566515476554,0.006665750074661483,0.02756660479963208,0.0025400700291891218,0.06117874624239048,0.4677541716621625,0.0892730944774528,0.03181701862964237,0.24509419297415772,0.04514229622719726,0.22804244301998405,0.13939393939393938,0.12727272727272726,0.19999999999999998,0.006060606060606061,0.12727272727272726,0.18237166310401937,0.15555555555555553,0.06666666666666667,0.15555555555555553,0.022222222222222223,0.06666666666666667,0.13483997249264842
