Model,Relevance_story_spearman,Coherence_story_spearman,Empathy_story_spearman,Surprise_story_spearman,Engagement_story_spearman,Complexity_story_spearman,Relevance_system_spearman,Coherence_system_spearman,Empathy_system_spearman,Surprise_system_spearman,Engagement_system_spearman,Complexity_system_spearman
Repetition-2 ¤§,0.05424328712077563,0.24448435143177608,0.11047469514095684,0.24547622460937238,0.2649538542247768,0.32749508254023135,0.3939393939393939,0.3696969696969697,0.2606060606060606,0.3696969696969697,0.3696969696969697,0.41337576970244394
Repetition-3 ¤§,0.07005602338152264,0.26927615079369477,0.14947304143298906,0.259637238379091,0.2868730902204732,0.3593817861821182,0.49090909090909085,0.4787878787878787,0.35757575757575755,0.4545454545454545,0.4787878787878787,0.4559291577600484
SUPERT-PS ¤ε,0.369605443794948,0.040786914396340516,0.020956483089300086,0.03439654946798412,0.07142368474832379,0.08634932307132678,0.16363636363636364,0.18787878787878787,0.006060606060606061,0.2121212121212121,0.18787878787878787,0.21884599572482327
SUPERT-SS ¤ε,0.36804696698658207,0.05646864134343493,0.02649844231000973,0.04216135195080103,0.07592370637095926,0.09526819943583584,0.17575757575757575,0.16363636363636364,0.0303030303030303,0.1515151515151515,0.16363636363636364,0.1702135522304181
BLANC-Tune-PS ¤Δ,0.10182479079393625,0.0008000394468431183,0.033907206443975504,0.006084544645906429,0.027180576245378205,0.011089698454760164,0.29696969696969694,0.10303030303030303,0.01818181818181818,0.12727272727272726,0.10303030303030303,0.06079055436800646
BLANC-Help-PS ¤Δ,0.09705617954466013,0.00448573343951417,0.040840194534155785,0.017278448598953697,0.022302356218588358,0.009320262535810449,0.07878787878787878,0.28484848484848485,0.2727272727272727,0.24848484848484845,0.28484848484848485,0.17629260766721871
BLANC-Tune-SS ¤Δ,0.15263241227610017,0.026429682803811506,0.0071395112502823715,0.01818427929663414,0.04436349607866598,0.03881660064436543,0.35757575757575755,0.006060606060606061,0.04242424242424241,0.006060606060606061,0.006060606060606061,0.03039527718400323
BLANC-Help-SS ¤Δ,0.1296998358669264,0.02516293742652789,0.015424600096592456,0.009065750090552525,0.017651997643738305,0.02747258250379723,0.5393939393939393,0.17575757575757575,0.24848484848484845,0.10303030303030303,0.17575757575757575,0.16413449679361747
BARTScore-PS ¤Δ,0.023666888104019675,0.13084682820702723,0.0476951260192272,0.2090741713247567,0.1829317657756985,0.2621523362776451,0.2121212121212121,0.13939393939393938,0.09090909090909088,0.17575757575757575,0.13939393939393938,0.24316221747202585
BARTScore-SP ¤Δ,0.17039302263427525,0.03821586486633537,0.014622579095752958,0.03682202142674002,0.07534270714285038,0.11633294485472359,0.35757575757575755,0.09090909090909088,0.07878787878787878,0.2121212121212121,0.09090909090909088,0.2978737164032316
